Site,Date_mm/dd/yy,Avg_Depth_m,Start_Time,Duration_min,Visibility_m,Weather,Current,Boats,Researcher,Russels_Snapper,Brown_Stripe,Other_Snapper>30,Chevron_Barracuda,Pickhandle_B,Yellowtail_B,Great_Barracuda,O_Spot_Trevally,G_Spot_Trevally,Giant_Trevally,Golden_Trevally,Longfin_Trevally,Big_Eye_Trevally,Queenfish,Herring_Scad,Emperorfish,Grunts,Grouper>30,Rainbow_Runner,Cobia,Triggerfish,Spanish/King_Mackerel,Other_Mackerel,Total_N,
Chumphon,04/01/2019,20,7:00,29,37,1,None,5,Global Reef,24,35,0,0,0,65,0,8,0,0,0,0,0,0,0,4,0,10,0,0,3,3,0,152,
Chumphon,05/01/2019,20,7:00,29,18,1,None,5,Global Reef,11,81,0,0,10,27,1,4,0,0,0,0,0,1,0,12,0,11,0,0,4,2,0,164,
Chumphon,06/01/2019,20,7:00,28,35,1,None,4,Global Reef,62,65,0,0,0,0,0,10,0,0,1,0,0,0,0,4,2,13,0,0,1,1,0,159,
Southwest,06/01/2019,20,7:00,28,7,1,Light,2,Global Reef,580,0,0,0,0,120,0,0,0,0,0,0,0,0,0,8,0,18,0,0,0,0,0,726,
Chumphon,07/01/2019,20,7:00,29,18,3,None,3,Global Reef,135,120,0,250,10,165,1,3,0,0,2,0,0,5,20,4,2,18,0,0,2,0,0,737,
Southwest,07/01/2019,20,7:00,28,20-25,1,Light,1,Global Reef,400,180,0,500,0,75,0,0,0,0,0,0,0,0,0,11,0,25,0,0,3,0,0,1194,
Chumphon,08/01/2019,20,7:00,30,18,3,None,5,Global Reef,100,70,0,0,0,40,1,5,0,1,0,0,0,1,23,5,3,12,1,0,2,1,0,265,
Southwest,08/01/2019,20,7:00,28,18,3,None,2,Global Reef,200,80,0,0,0,150,1,10,1,0,1,0,0,2,20,0,3,15,1,0,3,0,0,487,
Chumphon,09/01/2019,20,7:00,29,18,2,None,4,Global Reef,180,100,0,0,20,120,0,6,0,0,0,2,0,2,20,6,3,11,0,0,1,2,0,473,
Chumphon,10/01/2019,20,7:00,28,18,3,None,3,Global Reef,425,168,7,0,0,445,1,3,0,0,0,0,1,0,52,3,12,12,0,3,2,0,0,1134,
Southwest,10/01/2019,20,7:00,28,12,2,Light,3,Global Reef,693,342,7,0,0,23,0,0,0,0,0,0,0,0,55,6,0,11,0,0,0,0,0,1137,
Chumphon,11/01/2019,20,7:00,30,12,3,None,4,Global Reef,300,120,7,0,8,120,,7,0,0,0,0,0,4,28,4,3,6,0,2,1,1,0,611,
Southwest,11/01/2019,20,7:00,27,12,4,None,1,Global Reef,429,211,7,500,1,136,1,6,0,0,0,0,0,0,29,16,16,21,0,0,0,0,0,1373,
Chumphon,01/01/2020,20,7:00,29,12,5,None,1,Global Reef,94,38,0,115,31,20,0,2,0,0,1,2,0,4,14,1,0,5,0,0,1,0,0,328,
Southwest,01/01/2020,20,7:00,28,12,4,Light,1,Global Reef,420,200,6,0,0,80,1,6,0,0,0,0,0,0,30,8,8,19,0,0,2,0,0,780,
Chumphon,03/01/2020,20,7:00,29,12,2,None,2,Global Reef,140,100,4,0,4,120,0,5,0,0,0,0,150,1,18,4,4,4,0,0,3,1,0,558,
Chumphon,05/01/2020,20,12:00,29,18,1,None,2,Global Reef,5,49,0,0,0,65,0,1,0,0,0,1,0,2,99,0,2,3,0,0,2,1,1,231,
Southwest,05/01/2020,20,13:00,27,18,1,Strong,1,Global Reef,365,118,2,375,0,24,0,1,0,0,0,0,0,0,139,24,25,2,0,0,3,1,1,1080,
Chumphon,06/01/2020,20,7:00,29,22,2,None,3,Global Reef,348,174,0,105,7,128,0,4,0,0,0,0,0,2,46,1,3,5,0,0,3,2,0,828,
Southwest,06/01/2020,20,13:00,28,12,2,None,2,Global Reef,255,63,0,355,0,70,0,1,0,0,0,0,0,0,317,37,19,2,0,0,3,0,0,1122,
Chumphon,07/01/2020,20,7:00,30,18,2,None,1,Global Reef,0,70,0,0,0,1,0,1,0,0,0,0,0,1,19,1,2,3,0,0,2,1,2,103,
Southwest,07/01/2020,NA,NA,NA,NA,NA,NA,NA,Global Reef,390,75,1,0,0,100,0,2,1,0,0,0,0,0,15,7,1,5,0,0,0,0,0,597,
Chumphon,08/01/2020,20,10:00,30,22,1,None,1,Global Reef,305,127,0,0,0,137,2,2,0,0,0,0,0,3,1150,0,1,3,12,1,0,5,3,1751,
Southwest,08/01/2020,20,7:00,28,22,3,None,1,Global Reef,374,88,2,0,0,51,0,1,0,0,1,0,0,0,8,68,5,5,0,0,4,1,0,608,
Chumphon,09/01/2020,20,10:00,30,12,2,None,1,Global Reef,201,78,3,0,14,133,0,0,0,0,0,0,0,1,43,0,0,4,0,0,1,1,2,481,
Southwest,09/01/2020,20,7:00,29,22,2,None,1,Global Reef,315,100,2,500,1,50,1,3,3,0,0,0,0,0,116,7,1,3,1,0,2,0,0,1105,
Chumphon,11/01/2020,20,7:00,28,18,2,None,1,Global Reef,385,65,11,300,0,35,0,4,2,0,0,0,0,0,386,1,4,3,2,0,3,,4,1205,
Southwest,11/01/2020,20,7:00,27,18,2,None,1,Global Reef,424,84,1,1000,0,1,0,3,2,0,1,0,1,0,153,19,12,4,0,0,3,0,0,1708,
Chumphon,03/01/2021,20,8:00,30,18,2,None,1,Global Reef,475,103,0,143,10,60,2,3,0,2,1,2,0,0,68,0,4,5,0,0,2,3,1,884,
Southwest,03/01/2021,20,7:00,29,12,2,None,1,Global Reef,493,48,1,1000,0,0,0,1,0,0,0,0,0,0,52,2,2,3,0,0,1,0,0,1603,
Chumphon,04/01/2021,20,10:00,30,18,2,Light,1,Global Reef,1282,496,49,1000,150,10,0,1,0,0,0,0,0,1,113,0,0,8,0,4,3,1,0,3118,
Southwest,04/01/2021,20,8:00,29,12,2,Light,2,Global Reef,390,105,4,1000,0,0,1,2,50,0,0,2,0,3,1300,38,1,10,0,0,1,1,0,2908,
Chumphon,05/01/2021,20,8:00,27,18,2,Light,1,Global Reef,0,55,6,750,0,0,0,5,2,1,0,0,0,32,811,0,3,3,0,0,1,0,0,1669,
Chumphon,06/01/2021,20,10:00,30,18,2,Light,1,Global Reef,0,55,6,750,0,0,0,5,2,0,0,0,0,0,811,0,3,3,0,0,1,0,0,1636,
Chumphon,07/01/2022,NA,NA,NA,NA,NA,NA,NA,Global Reef,100,95,65,0,9,40,0,0,2,0,0,0,1,3,2,0,3,10,1,0,2,0,0,333,
Southwest,10/01/2022,20,10:00,29,12,2,Light,2,Global Reef,315,340,2,500,0,0,1,12,2,0,0,0,0,1,35,15,0,10,0,0,3,0,1,1237,
Chumphon,11/01/2022,20,10:00,26,18,2,Light,1,Global Reef,235,110,72,0,0,185,2,8,2,1,0,0,0,6,56,6,0,3,0,0,1,2,5,694,
Chumphon,04/01/2023,20,8:00,24,12,1,Light,8,Global Reef,0,80,2,67,93,8,0,4,1,0,2,1,233,3,15,0,0,5,0,0,1,0,60,575,
Southwest,04/01/2023,20,8:00,22,7,1,Light,3,Global Reef,11,78,1,1750,0,0,0,3,0,0,5,0,0,0,37,0,0,2,1,0,0,0,0,1888,
Chumphon,05/01/2023,22,8:00,26,12,1,Light,6,Global Reef,25,59,0,79,49,28,0,5,0,0,5,48,0,1,14,0,0,1,0,0,3,0,0,317,
Chumphon,05/01/2023,22,8:00,25,12,1,None,7,Global Reef,15,66,6,85,42,32,0,11,6,0,0,0,5,14,9,9,0,2,2,0,2,0,0,306,
Chumphon,06/01/2023,22,8:00,25,12,1,None,5,Global Reef,63,88,2,50,49,15,0,3,2,0,0,0,1,5,60,2,1,5,1,1,2,0,1,351,
Southwest,06/01/2023,20,8:00,24,25,1,Light,5,Global Reef,165,165,1,0,0,78,0,6,1,0,0,0,0,0,35,10,1,26,0,0,3,0,0,491,
Chumphon,07/01/2023,22,8:00,25,25,1,None,2,Global Reef,40,80,21,85,21,38,1,2,13,0,0,0,103,10,83,0,2,5,0,0,2,2,4,512,
Southwest,07/01/2023,20,8:00,23,20,1,None,4,Global Reef,473,314,4,1000,0,30,0,2,1,0,1,0,0,0,44,17,1,16,0,0,2,0,2,1907,
Chumphon,08/01/2023,23,8:00,25,12,1,None,6,Global Reef,2,69,27,15,75,0,2,6,4,8,0,266,6,56,1,0,10,0,0,0,1,2,10,560,
Southwest,08/01/2023,20,8:00,23,20,1,None,5,Global Reef,2,69,27,15,75,0,2,6,4,0,8,0,266,6,56,1,0,10,0,0,1,2,10,560,
Chumphon,09/01/2023,25,8:00,25,25,1,None,3,Global Reef,94,140,10,12,34,248,0,4,2,0,1,0,89,2,163,0,5,9,0,0,1,0,1,815,
Southwest,09/01/2023,19,8:00,25,18,1,None,1,Global Reef,297,189,3,0,0,1,0,2,1,0,0,0,0,0,193,2,0,13,0,0,3,0,2,706,
Chumphon,10/01/2023,22,8:00,25,18,5,Light,5,Global Reef,299,132,21,162,97,103,1,3,7,3,0,0,47,6,134,0,3,12,0,0,2,3,33,1068,
Southwest,10/01/2023,20,8:00,25,18,1,None,2,Global Reef,359,395,2,1,0,214,0,6,4,0,0,0,0,0,0,41,16,1,31,0,0,1,0,1071,
Chumphon,01/01/2024,22,8:00,25,12,1,None,12,Global Reef,16,285,18,120,96,0,6,4,0,0,0,0,270,2,150,0,0,4,5,0,0,1,45,1022,
Chumphon,02/01/2024,NA,8:00,NA,20,NA,NA,6,Global Reef,163,16,8,0,95,48,1,3,0,0,0,0,338,2,257,0,1,9,0,1,0,1,79,1022,
Southwest,02/01/2024,20,8:00,25,7,1,None,4,Global Reef,298,102,3,288,0,108,0,2,3,0,0,0,0,0,19,7,0,13,0,0,2,0,0,845,
Chumphon,03/19/2024,NA,8:00,NA,20,NA,NA,7,Global Reef,0,56,54,27,25,44,0,5,1,0,0,0,98,2,136,1,0,7,0,0,1,0,1,458,
Southwest,04/01/2024,19,10:00,25,18,1,None,2,Global Reef,6,50,4,0,0,30,0,15,30,0,0,0,0,0,21,2,0,6,2,0,2,0,0,168,
Southwest,05/01/2024,20,8:00,25,18,1,None,4,Global Reef,117,92,10,0,0,0,0,17,17,0,0,0,0,0,100,14,3,14,0,0,6,0,0,390,
Chumphon,05/24/2024,22,8:00,25,30,1,None,6,Global Reef,2,6,4,37,10,0,0,16,1,0,0,0,4,2,199,1,1,8,0,0,2,0,9,302,
Southwest,06/01/2024,20,8:00,25,15,2,Light,5,Global Reef,90,161,7,0,0,34,0,5,7,0,0,0,0,0,107,11,8,14,3,0,1,0,0,448,
Chumphon,06/24/2024,22,8:00,25,30,1,None,1,Global Reef,1,3,12,25,12,21,1,12,1,0,0,0,0,2,14,1,3,14,1,0,5,0,0,128,
Southwest,07/01/2024,20,8:00,25,12,1,Light,4,Global Reef,288,71,5,763,0,4,0,10,3,0,1,0,0,0,240,6,1,10,0,0,2,1,6,1411,
Chumphon,07/24/2024,NA,8:00,25,6,NA,Light,4,Global Reef,0,4,0,3,12,0,1,4,1,0,0,2,20,2,37,0,0,3,0,0,0,1,10,100,
Southwest,08/01/2024,19,8:00,25,12,1,Light,3,Global Reef,176,111,5,96,0,70,1,7,5,0,0,0,0,0,363,13,4,17,3,0,4,0,6,881,
Chumphon,08/24/2024,NA,8:00,25,20,NA,NA,6,Global Reef,154,2,15,19,0,5,0,2,5,0,0,0,1,0,51,1,1,6,2,0,0,1,2,267,
Chumphon,09/01/2024,NA,NA,NA,NA,NA,NA,,Global Reef,30,1,4,0,23,166,0,3,2,0,0,0,7,2,47,1,2,4,0,0,3,1,1,297,
Southwest,09/01/2024,19,8:00,25,7,1,Medium,1,Global Reef,159,52,4,0,0,49,0,10,18,0,0,0,0,0,33,5,1,21,0,0,0,0,25,377,
Southwest,10/01/2024,19,8:00,25,20,1,NA,2,Global Reef,308,134,3,213,0,123,0,4,21,0,0,0,0,0,10,15,0,15,1,0,1,0,28,876,
Chumphon,10/24/2024,22,12:00,25,8,4,Medium,1,Global Reef,13,1,2,0,0,56,0,4,1,0,0,0,0,1,111,0,1,2,1,0,2,1,23,219,
Southwest,01/23/2025,19,8:00,25,20,3,None,3,Gavin,315,108,3,1190,0,76,0,14,3,0,0,0,0,0,70,28,6,13,0,0,1,0,0,1827,
Southwest,01/23/2025,19,8:00,25,20,3,None,3,Georgia,210,123,0,900,0,105,0,9,0,0,0,0,0,0,5,37,5,10,0,0,4,0,0,1408,
Chumphon,02/11/2025,18,7:58,25,8,1,none,7,Elise,0,0,21,0,16,0,0,3,3,0,0,0,0,1,115,4,6,8,7,0,1,0,0,185,
Chumphon,02/11/2025,18,7:58,25,8,1,none,7,Camille,0,0,15,120,26,0,0,1,5,0,0,0,0,1,136,0,1,0,6,0,0,0,10,321,
Chumphon,02/11/2025,18,7:58,25,8,1,none,7,Martin ,0,0,2,100,34,0,0,0,0,0,0,0,0,6,123,0,0,0,7,0,0,0,0,272,
Southwest,02/13/2025,18,7:20,25,7,2,None,2,Georgia,182,157,2,762,2,73,0,2,7,0,0,0,0,0,0,10,3,6,0,0,1,0,0,1207,
Southwest,02/13/2025,18,7:20,25,7,2,None,2,Bjarne,511,732,2,1290,4,106,0,3,11,0,0,0,0,0,0,11,3,12,3,0,0,0,0,2688,
Southwest,02/13/2025,20,7:23,25,7,2,None,2,Max,351,60,33,1840,2,99,0,0,50,0,0,0,0,0,0,9,4,13,2,0,1,0,1500,3964,
Southwest,02/13/2025,20,7:23,25,7,2,None,2,Camille,114,91,5,630,0,115,0,5,46,0,0,0,0,0,0,12,3,13,0,0,0,0,800,1834,
Chumphon,03/03/2025,20,7:55,25,10,2,None,7,Max,1,0,50,0,0,14,0,0,0,0,0,0,0,0,110,2,0,28,2,0,1,0,0,208,
Chumphon,03/03/2025,20,7:55,25,10,2,None,7,Georgia,0,1,31,0,0,15,0,12,0,0,0,0,0,0,87,1,2,5,1,0,5,0,0,160,
Southwest,03/06/2025,18,7:45,25,10,2,Light,3,Max,39,4,4,950,0,75,0,14,10,0,0,0,0,0,0,14,2,8,0,0,0,0,0,1120,
Southwest,03/06/2025,18,7:45,25,10,2,Light,3,Georgia,33,44,5,800,0,0,0,0,41,0,0,0,0,0,0,21,0,7,3,0,0,0,0,954,
Southwest,03/06/2025,18,7:45,25,10,2,Light,3,Olive,356,42,5,890,0,0,0,3,23,0,0,0,0,0,2,19,1,13,2,0,0,0,0,1356,
Southwest,03/06/2025,18,7:36,25,10,2,Light,3,Camille,265,109,7,450,0,0,0,1,80,0,0,0,0,0,20,26,1,8,3,0,0,0,0,970,
Southwest,03/06/2025,18,7:36,25,10,2,Light,3,Martin,20,41,0,800,0,0,1,1,33,0,0,0,0,0,8,83,0,1,0,0,0,0,0,988,
Chumphon,04/15/2025,19,7:55,25,12,2,None,3,Renzo,0,0,0,0,0,0,1,8,1,0,0,0,19,0,21,0,0,6,10,0,2,0,6,74,
Chumphon,04/15/2025,19,7:55,25,12,2,None,3,Camille,0,7,0,0,0,0,1,1,19,0,0,0,0,0,19,0,13,12,5,0,0,0,3,80,
Southwest,04/17/2025,14.7,7:38,25,11,2,None,3,Emma,11,56,14,0,0,240,0,6,99,0,0,0,0,0,78,0,0,5,0,0,0,6,0,515,
Southwest,04/17/2025,14.7,7:38,25,11,2,None,3,Lucca,11,41,10,0,0,101,0,1,45,0,0,0,0,0,29,0,1,8,0,0,0,2,0,249,
Southwest,05/09/2025,25,7:35,25,20,1,None,1,Lucca,3,61,8,0,0,0,0,0,39,0,0,0,0,0,65,1,0,6,0,0,0,0,1,184,9356
Southwest,05/09/2025,25,7:35,25,20,1,None,1,Tessa,7,62,8,0,0,0,0,0,41,0,0,0,0,0,68,2,0,8,0,0,0,0,4,200,
Southwest,05/09/2025,25,7:35,25,20,1,None,1,Bjarne,42,61,16,0,0,0,0,2,31,0,0,0,0,0,93,5,0,14,1,0,0,0,1,266,
Chumphon,05/19/2025,16.4,7:45,25,9,3,Light,5,Lucca,75,14,80,0,70,0,4,0,6,0,0,0,0,0,6,1,0,40,0,0,2,0,0,298,
Chumphon,05/19/2025,16.4,7:45,25,9,3,Light,5,Niamh,72,13,72,0,95,90,1,0,5,0,0,0,0,0,2,0,0,25,0,0,1,0,0,376,
Southwest,06/12/2025,16.8,8:00,38,18,4,None,2,Jess,752,34,25,80,0,70,0,3,24,0,0,0,0,0,121,9,1,5,0,0,1,0,0,1125,
Southwest,06/12/2025,16.8,8:00,38,18,4,None,2,James,761,80,41,0,0,130,0,6,12,0,0,0,0,0,193,11,1,17,0,0,0,0,2600,3852,
Southwest,06/12/2025,18,8:00,25,18,4,None,2,Elena,209,10,10,0,0,55,0,2,8,0,0,0,0,0,21,6,3,10,0,0,0,3,0,337,
Southwest,06/12/2025,18,8:00,25,18,4,None,2,Mirea,405,12,10,0,0,60,0,6,10,0,0,0,0,0,32,6,3,8,0,0,0,4,0,556,
Southwest,06/12/2025,18,8:00,25,18,4,None,2,Camille,390,73,34,0,0,90,0,0,34,0,0,0,8,0,46,9,3,10,3,0,1,0,450,1151,
Chumphon,06/17/2025,20,8:00,25,15,3,None,7,Jess,0,0,2,0,0,45,6,3,0,0,0,0,0,10,7,0,0,2,0,0,0,1,12,88,
Chumphon,06/17/2025,20,8:00,25,15,3,None,7,James,0,5,7,0,0,55,3,11,0,0,0,0,0,4,3,0,0,3,1,0,0,1,12,105,
Chumphon,06/17/2025,20,8:00,25,15,3,None,7,Mirea,0,3,3,0,0,0,1,0,7,0,0,0,0,1,2,0,0,17,0,0,1,0,0,35,
Chumphon,06/17/2025,20,8:00,25,15,3,None,7,Elena,0,2,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,8,0,0,1,0,0,18,
Chumphon,06/17/2025,18,7:59,20,8,3,Light,7,Camille,0,7,2,0,0,35,2,9,26,0,0,0,0,1,34,0,0,7,0,0,0,0,73,196,
Chumphon,06/23/2025,20,7:57,50,15,3,None,3,Mirea,52,26,14,0,0,45,2,8,3,0,0,0,0,0,82,0,0,23,7,0,0,0,5,267,
Chumphon,06/23/2025,20,7:57,50,15,3,None,3,Ben,65,7,12,0,0,45,2,9,11,0,0,0,0,2,97,25,0,8,8,0,1,0,10,302,
Chumphon,07/28/2025,20,8:00,25,20,3,None,6,Scar,0,11,17,0,2,0,0,7,4,0,0,0,0,7,96,1,0,11,8,0,0,3,29,196,
Chumphon,07/28/2025,20,8:00,25,20,3,None,6,Jess,0,5,18,0,0,0,0,5,0,0,0,0,0,3,120,0,0,8,8,0,0,30,65,262,
Chumphon,08/04/2025,15,8:07,25,15,2,None,8,Jess,0,1,7,0,0,1,0,26,0,0,0,2,0,6,75,1,0,11,23,0,0,6,27,186,
Chumphon,08/04/2025,18,8:07,21,15,2,None,5,Amira,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,2,0,1,3,0,0,0,16,30,
Chumphon,08/04/2025,18,8:07,21,15,2,None,5,Tom,0,0,0,0,0,0,0,7,0,0,2,0,0,0,12,2,0,2,7,0,0,0,18,50,
Chumphon,08/04/2025,18,8:07,25,15,2,None,8,Louis,0,4,2,0,0,0,0,22,0,0,0,0,0,0,18,0,0,4,0,0,0,0,19,69,
Chumphon,08/04/2025,18,8:06,25,15,2,None,5,Hannah,3,0,0,0,0,0,0,54,0,0,0,0,0,3,47,0,0,4,24,0,0,0,15,150,
Southwest,08/12/2025,17,7:44,25,15,3,None,1,Jess,350,127,8,290,1,85,0,9,5,0,0,0,0,1,173,5,1,9,3,0,0,0,10,1077,
Southwest,08/12/2025,17.1,7:44,25,15,3,None,1,Tom,456,76,9,420,1,0,0,5,4,0,0,0,0,0,455,0,0,3,7,0,0,0,0,1436,
Southwest,08/12/2025,17.1,7:44,25,15,3,None,1,Amira,413,283,6,446,1,226,0,8,5,0,0,0,0,1,443,1,0,1,6,0,0,0,11,1851,
Southwest,08/12/2025,17,7:44,25,15,3,None,1,Caitlyn,390,0,6,287,0,85,0,6,4,0,0,0,0,0,110,2,0,7,3,0,0,0,12,912,
Southwest,08/12/2025,17,7:44,25,15,3,None,1,Sophie,411,0,5,250,0,90,0,5,4,0,0,0,0,0,102,1,0,8,2,0,0,1,13,892,
Southwest,08/12/2025,17,7:44,25,15,3,None,1,Hannah,327,127,1,300,0,30,0,0,0,0,0,0,0,0,154,3,1,0,1,0,0,0,0,944,
Chumphon,08/21/2025,19,8:06,20,20,3,None,5,Iola,88,31,38,0,0,0,0,18,0,0,0,0,0,2,31,0,0,7,6,0,0,1,16,238,
Chumphon,08/25/2025,18,8:08,25,17,2,None,4,Maia,415,104,13,5,0,0,0,14,0,0,1,0,0,5,190,1,3,12,6,0,2,0,0,771,
Chumphon,08/25/2025,18,8:08,25,17,2,None,4,Mario,345,51,13,7,0,0,0,17,0,1,2,0,0,4,288,0,2,8,4,0,1,2,2,747,
Chumphon,08/25/2025,18,8:05,25,17,2,None,4,Teo,405,136,22,0,0,90,0,31,0,0,0,0,0,2,476,8,0,17,5,0,3,0,12,1207,
Chumphon,08/25/2025,18,8:05,25,17,2,None,4,Sophie,225,94,75,1,0,0,0,22,0,0,0,0,0,5,530,9,16,22,6,0,4,0,3,1012,
Chumphon,09/03/2025,16.6,8:02,25,10,3,Light,5,Maddie,0,14,0,650,0,200,0,7,11,0,0,0,0,3,3,1,0,4,1,0,1,0,5,900,
Chumphon,09/03/2025,16.6,8:02,25,10,3,Light,5,Mario,0,45,4,750,0,140,0,38,2,0,0,0,0,2,35,0,0,10,2,0,0,0,6,1034,
Southwest ,09/05/2025,20,9:30,25,15,3,None,1,Hannah,340,66,20,900,0,110,0,17,25,0,0,0,0,0,104,13,0,10,2,0,0,0,2,1609,
Southwest ,09/05/2025,20,9:30,25,15,3,None,3,Maddy,184,103,23,950,0,128,0,5,17,2,0,0,0,0,68,8,0,9,1,0,0,0,1,1499,
Southwest ,09/05/2025,18,9:30,25,18,3,None,2,Jess F,146,65,14,1100,0,90,0,18,19,0,0,0,0,0,100,15,0,7,1,0,0,0,0,1575,
Southwest ,09/05/2025,18,9:30,25,18,3,None,2,Mario,310,91,38,1100,0,130,0,4,17,3,0,0,0,0,95,23,0,28,1,0,0,0,158,1998,
Chumphon,09/22/25,22,8:00,25,12,1,Light,5,Piers,250,40,24,140,6,160,1,19,0,0,0,0,2,8,2,3,2,7,7,0,4,0,2,677,
Chumphon,09/22/2025,20,9:45,25,18,2,Light,5,Maddie,93,174,17,0,0,95,0,5,5,0,0,0,0,7,4,2,2,7,6,0,2,0,2,421,
Chumphon,09/22/2025,20,9:45,25,18,2,Light,5,Mario,85,120,17,160,20,136,0,22,0,0,0,0,0,6,14,1,2,7,5,0,4,0,4,603,
Southwest ,09/24/2025,16.7,7:49,25,17,3,None,3,Maddie,388,256,4,0,0,3,0,20,14,0,1,0,0,0,15,29,2,8,0,0,0,0,0,740,
Southwest ,09/24/2025,16.7,7:49,25,17,3,None,3,Jake,277,123,6,0,0,1,0,17,19,0,0,0,0,0,25,18,8,23,0,0,0,0,5,522,
Southwest,09/24/25,20,7:50,25,18,3,Light,2,Scar,203,235,21,0,0,116,0,19,23,0,0,0,0,0,26,12,0,11,0,0,0,0,3,669,
Chumpon,10/09/25,22,8:10,25,15,3,Light,9,Nicole,221,54,7,0,0,30,0,19,7,0,0,0,0,7,4,1,9,9,0,0,0,0,0,368,
Chumpon,10/09/2025,22,8:10,25,15,4,Light,9,Tilda,575,67,8,110,20,90,0,29,1,0,0,0,0,5,0,2,3,7,3,0,0,0,6,926,
Chumpon,10/09/2025,22,8:10,25,15,4,Light,9,Ruby,702,92,14,240,0,148,2,33,4,0,0,0,0,4,2,0,1,10,5,0,0,0,3,1260,
Chumphon,10/09/2025,22,8:11,25,15,3,Light,9,Lily,250,50,6,0,0,0,0,22,2,0,0,0,0,2,0,0,0,5,3,0,0,0,0,340,
Chumphon,10/09/25,22,8:10,25,15,3,Light,9,Marianna,285,95,9,0,0,61,0,23,2,0,0,0,0,3,0,2,0,5,3,0,0,0,0,488,
